# Comments start with a '#' which ignores the whole line
# Empty lines are OK (also ignored)
# Format: 
# !version [version]
# Then, lines like `"Airbus A300-600","AB6","A306","IFR","MP","ME"`
# Aircraft lines MUST have name and type in `"` and start with a `"`

!version 1

"Boeing 767-200","762","B762","IFR","MP","ME"
"Boeing 767-300","763","B763","IFR","MP","ME"
"Boeing 767-400","764","B764","IFR","MP","ME"
"Boeing 777","777",\N,"IFR","MP","ME"
"Boeing 777-200","772","B772","IFR","MP","ME"
"Boeing 777-200LR","77L","B77L","IFR","MP","ME"
"Boeing 777-300","773","B773","IFR","MP","ME"
"Boeing 777-300ER","77W","B77W","IFR","MP","ME"
"Boeing 777-8","778","B778","IFR","MP","ME"
"Boeing 777-9","779","B779","IFR","MP","ME"
"Boeing 787","787",\N,"IFR","MP","ME"
"Boeing 787-10","78J","B78X","IFR","MP","ME"
"Boeing 787-8","788","B788","IFR","MP","ME"
"Boeing 787-9","789","B789","IFR","MP","ME"
"Bombardier 415",\N,"CL2T","IFR","MP","ME"
"Bombardier BD-100 Challenger 300",\N,"CL30","IFR","MP","ME"
"Bombardier CS100","CS1","BCS1","IFR","MP","ME"
"Bombardier CS300","CS3","BCS3","IFR","MP","ME"
"Bombardier Global Express","CCX","GLEX","IFR","MP","ME"
"British Aerospace (BAC) One Eleven","B11","BA11","IFR","MP","ME"
"British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900","H25","H25B","IFR","MP","ME"
"British Aerospace 125-1000 series / Hawker/Raytheon 1000","H25","H25C","IFR","MP","ME"
"British Aerospace ATP","ATP","ATP","IFR","MP","ME"
"British Aerospace Jetstream 31","J31","JS31","IFR","MP","ME"
"British Aerospace Jetstream 32","J32","JS32","IFR","MP","ME"
"British Aerospace Jetstream 41","J41","JS41","IFR","MP","ME"
"Canadair Challenger","CCJ","CL60","IFR","MP","ME"
"Canadair CL-44","CL4","CL44","IFR","MP","ME"
"Canadair Regional Jet 100","CR1","CRJ1","IFR","MP","ME"
"Canadair Regional Jet 1000","CRK","CRJX","IFR","MP","ME"
"Canadair Regional Jet 200","CR2","CRJ2","IFR","MP","ME"
"Canadair Regional Jet 700","CR7","CRJ7","IFR","MP","ME"
"Canadair Regional Jet 900","CR9","CRJ9","IFR","MP","ME"
"Cessna 152",\N,"C152","VFR","SP","SE"
"Cessna 172","CN1","C172","VFR","SP","SE"
"Cessna 182 Skylane","CN1","C182","VFR","SP","SE"
"Cessna 208 Caravan Single Pilot","CN1","C208","IFR","SP","SE"
"Cessna 208 Caravan","CN1","C208","IFR","MP","SE"
"Cessna 210 Centurion","CN1","C210","IFR","SP","SE"
"Cessna Citation CJ3","CNJ","C25B","IFR","MP","ME"
"Cessna Citation CJ4","CNJ","C25C","IFR","MP","ME"
"Cessna Citation Excel","CNJ","C56X","IFR","MP","ME"
"Cessna Citation I","CNJ","C500","IFR","MP","ME"
"Cessna Citation II","CNJ","C550","IFR","MP","ME"
"Cessna Citation Mustang","CNJ","C510","IFR","MP","ME"
"Cessna Citation Sovereign","CNJ","C680","IFR","MP","ME"
"Cessna Citation X","CNJ","C750","IFR","MP","ME"
"COMAC C-919",\N,"C919","IFR","MP","ME"
"Concorde","SSC","CONC","IFR","MP","ME"
"Dassault Falcon 2000","D20","F2TH","IFR","MP","ME"
"Dassault Falcon 50","DF3","FA50","IFR","MP","ME"
"Dassault Falcon 7X","DF7","FA7X","IFR","MP","ME"
"Dassault Falcon 900","DF9","F900","IFR","MP","ME"
